model_name,DoF,chi2,chi2 p-value,CFI,TLI,GFI,AGFI,NFI,RMSEA,AIC,BIC
主模型,136.0,232.5965,4.84881e-07,0.9998,0.9998,0.9996,0.9994,0.9996,0.003,111.3614,797.8463
扩展模型,136.0,150.4097,0.188152,1.0,1.0,0.9998,0.9996,0.9998,0.0012,183.3245,1064.6228
