分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-3740.6110000000003,-3366.549,-3551.4329896907216,0.30927835051546393,388,0.0025067838221992504
-3366.549,-2992.488,-3168.5107913669067,0.2589928057553957,556,0.0035921953740793385
-2992.488,-2618.427,-2792.0115089514065,0.2570332480818414,782,0.005052332342679933
-2618.427,-2244.366,-2419.7795883361923,0.2641509433962264,1166,0.007533273032691562
-2244.366,-1870.305,-2042.7857911733047,0.26264800861141013,1858,0.012004134901150019
-1870.305,-1496.244,-1666.5801916932908,0.2645367412140575,3130,0.02022225093681354
-1496.244,-1122.183,-1293.0264051301397,0.2891361750282912,5302,0.03425507171469182
-1122.183,-748.122,-919.8019832661915,0.31546327858692286,9681,0.06254684067709006
-748.122,-374.061,-542.3101195683873,0.3543307086614173,17145,0.11077012533919112
-374.061,-6.82e-12,-149.097324909262,0.4420755477886813,37195,0.24030882542964208
-6.82e-12,374.061,147.61305863877132,0.5573478133567569,37569,0.24272515828918464
374.061,748.122,542.3101195683873,0.6456692913385826,17145,0.11077012533919112
748.122,1122.183,919.8019832661915,0.6845367214130772,9681,0.06254684067709006
1122.183,1496.244,1293.0264051301397,0.7108638249717087,5302,0.03425507171469182
1496.244,1870.305,1666.5801916932908,0.7354632587859425,3130,0.02022225093681354
1870.305,2244.366,2042.7857911733047,0.7373519913885899,1858,0.012004134901150019
2244.366,2618.427,2419.7795883361923,0.7358490566037735,1166,0.007533273032691562
2618.427,2992.488,2792.0115089514065,0.7429667519181585,782,0.005052332342679933
2992.488,3366.549,3168.5107913669067,0.7410071942446043,556,0.0035921953740793385
3366.549,3740.61,3551.4329896907216,0.6907216494845361,388,0.0025067838221992504
