subset,stage,variable,treated_mean,control_mean,smd
全量,before,user_tokens,-0.006840424525280248,0.0067869756005264825,-0.013629262500853556
全量,before,turns,0.005173608774845914,-0.00513318382386647,0.010304821961960881
全量,before,ability_diff,0.46712379822034006,-0.4634738398516027,1.0513152353547859
全量,before,verbosity_diff,0.5954041994518079,-0.590751898394037,1.4731967701746864
全量,before,format_tendency_diff,0.5417041200698715,-0.5374714145345055,1.2817786368899757
全量,before,header_density_diff,0.09087237282351615,-0.09016232469722103,0.18177929068999502
全量,before,list_density_diff,0.034975251031794094,-0.03470196542594714,0.06971626779134912
全量,before,bold_density_diff,0.2708882968246549,-0.26877166091409954,0.56043670861311
全量,before,creative_writing_bool,0.08548054132578943,0.08167703433975623,0.013743373780182307
全量,before,if_bool,0.15508321227412902,0.1579426490669094,-0.007869805958138078
全量,before,math_bool,0.07689170935596504,0.07669549385525717,0.0007369124750064561
全量,before,code_bool,0.2695669903407498,0.27299853335356294,-0.007717853798487096
全量,before,complexity,0.45360246705915336,0.4629545339604511,-0.018770180137846787
全量,before,creativity,0.5095955348268216,0.5170940170940171,-0.015002540452104161
全量,before,domain_knowledge,0.8103575706603461,0.8131290143124462,-0.007089550250165908
全量,before,problem_solving,0.6575171394347172,0.6657563343953876,-0.017413830812697637
全量,before,real_world,0.5651298519254785,0.571612805340616,-0.013088969779852366
全量,before,specificity,0.5698447893569845,0.5717645273858292,-0.003878519844376575
全量,before,technical_accuracy,0.5998674720289523,0.6027663986243867,-0.005920631032958203
全量,after,user_tokens,-0.006840424525280248,0.02492351474529709,-0.031409061154428125
全量,after,turns,0.005173608774845914,-0.04972889657508666,0.05828278399585569
全量,after,ability_diff,0.46712379822034006,0.45949261289576077,0.008603700469786597
全量,after,verbosity_diff,0.5954041994518079,0.6049959119766721,-0.011839783015062354
全量,after,format_tendency_diff,0.5417041200698715,0.5089880932202975,0.03949560031995085
全量,after,header_density_diff,0.09087237282351615,0.027371304994841916,0.06801898262006788
全量,after,list_density_diff,0.034975251031794094,0.04745103281592494,-0.012614473897279167
全量,after,bold_density_diff,0.2708882968246549,0.2873869383087986,-0.013841398109192908
全量,after,creative_writing_bool,0.08548054132578943,0.11387211050793894,-0.09488043903001082
全量,after,if_bool,0.15508321227412902,0.1829650584907103,-0.07444715470485753
全量,after,math_bool,0.07689170935596504,0.08983867268139765,-0.04684798882033154
全量,after,code_bool,0.2695669903407498,0.2540714121874761,0.03525231046989933
全量,after,complexity,0.45360246705915336,0.4544435099523409,-0.0016892217550945865
全量,after,creativity,0.5095955348268216,0.47177409078166016,0.07570924266611591
全量,after,domain_knowledge,0.8103575706603461,0.7555368657134848,0.13327611398011338
全量,after,problem_solving,0.6575171394347172,0.5719601396640925,0.17648647138072884
全量,after,real_world,0.5651298519254785,0.4786043785202742,0.17386779205916073
全量,after,specificity,0.5698447893569845,0.5621479725769044,0.015529776445665404
全量,after,technical_accuracy,0.5998674720289523,0.5695899278742004,0.061471950745941334
无类别,before,user_tokens,-0.0012911966881104615,0.0012810585037445778,-0.0025741692230915932
无类别,before,turns,-0.0011933901854362756,0.0011840199556086193,-0.0023772600159889003
无类别,before,ability_diff,0.47316906247069274,-0.46945384600852996,1.0687276323772164
无类别,before,verbosity_diff,0.5973000704547444,-0.592610205392525,1.4803809654626632
无类别,before,format_tendency_diff,0.5667053979390728,-0.5622557553258681,1.3676957499079778
无类别,before,header_density_diff,0.15593642701348756,-0.15471204945662392,0.3144498245472278
无类别,before,list_density_diff,0.08502129568436073,-0.08435372769986152,0.16998100920911838
无类别,before,bold_density_diff,0.3238202421680902,-0.32127767886481223,0.6815097344346248
无类别,before,complexity,0.26844568836558413,0.274141810695648,-0.012810958925298764
无类别,before,creativity,0.41731409544950054,0.4298367405563269,-0.025344509130692406
无类别,before,domain_knowledge,0.7621483375959079,0.7608081581845166,0.0031445629603526802
无类别,before,problem_solving,0.5338995319210539,0.5429214343850242,-0.018097590124193885
无类别,before,real_world,0.4578005115089514,0.4640206827213099,-0.012478477796555221
无类别,before,specificity,0.3899049365439367,0.38660410781826016,0.006772849067113309
无类别,before,technical_accuracy,0.44872846595570137,0.44506152152056305,0.007375480263693325
无类别,after,user_tokens,-0.0012911966881104615,0.011976938172073274,-0.009777456875816534
无类别,after,turns,-0.0011933901854362756,-0.035508588478074934,0.03808044109690212
无类别,after,ability_diff,0.47316906247069274,0.466453887795756,0.007551749233747757
无类别,after,verbosity_diff,0.5973000704547444,0.6231588318463275,-0.031459046943704806
无类别,after,format_tendency_diff,0.5667053979390728,0.5276192454021504,0.048466228372361
无类别,after,header_density_diff,0.15593642701348756,0.02477157783230132,0.14193662371368382
无类别,after,list_density_diff,0.08502129568436073,0.08506720096200186,-4.43468669098906e-05
无类别,after,bold_density_diff,0.3238202421680902,0.32661520347179873,-0.0025842342670228144
无类别,after,complexity,0.26844568836558413,0.23818945133426628,0.06960921072113967
无类别,after,creativity,0.41731409544950054,0.31954832794479565,0.20371793033509605
无类别,after,domain_knowledge,0.7621483375959079,0.6942045070694397,0.15316075329554368
无类别,after,problem_solving,0.5338995319210539,0.4080490276504367,0.254147645240317
无类别,after,real_world,0.4578005115089514,0.3173285721179366,0.29136508978289255
无类别,after,specificity,0.3899049365439367,0.37229165661342467,0.03627202737344371
无类别,after,technical_accuracy,0.44872846595570137,0.40713217198282103,0.08414284575892982
仅创意写作,before,user_tokens,0.0010130786877274617,-0.0010381342199878693,0.0020491848517608237
仅创意写作,before,turns,0.02167718835389636,-0.02221331007740585,0.04398644489275436
