subset,stage,variable,treated_mean,control_mean,smd
全量,before,user_tokens,-0.0068,0.0068,-0.0136
全量,before,turns,0.0052,-0.0051,0.0103
全量,before,ability_diff,0.4671,-0.4635,1.0513
全量,before,verbosity_diff,0.5954,-0.5908,1.4732
全量,before,format_tendency_diff,0.5417,-0.5375,1.2818
全量,before,header_density_diff,0.0909,-0.0902,0.1818
全量,before,list_density_diff,0.035,-0.0347,0.0697
全量,before,bold_density_diff,0.2709,-0.2688,0.5604
全量,before,creative_writing_bool,0.0855,0.0817,0.0137
全量,before,if_bool,0.1551,0.1579,-0.0079
全量,before,math_bool,0.0769,0.0767,0.0007
全量,before,code_bool,0.2696,0.273,-0.0077
全量,before,complexity,0.4536,0.463,-0.0188
全量,before,creativity,0.5096,0.5171,-0.015
全量,before,domain_knowledge,0.8104,0.8131,-0.0071
全量,before,problem_solving,0.6575,0.6658,-0.0174
全量,before,real_world,0.5651,0.5716,-0.0131
全量,before,specificity,0.5698,0.5718,-0.0039
全量,before,technical_accuracy,0.5999,0.6028,-0.0059
全量,after,user_tokens,-0.0068,0.0249,-0.0314
全量,after,turns,0.0052,-0.0497,0.0583
全量,after,ability_diff,0.4671,0.4595,0.0086
全量,after,verbosity_diff,0.5954,0.605,-0.0118
全量,after,format_tendency_diff,0.5417,0.509,0.0395
全量,after,header_density_diff,0.0909,0.0274,0.068
全量,after,list_density_diff,0.035,0.0475,-0.0126
全量,after,bold_density_diff,0.2709,0.2874,-0.0138
全量,after,creative_writing_bool,0.0855,0.1139,-0.0949
全量,after,if_bool,0.1551,0.183,-0.0744
全量,after,math_bool,0.0769,0.0898,-0.0468
全量,after,code_bool,0.2696,0.2541,0.0353
全量,after,complexity,0.4536,0.4544,-0.0017
全量,after,creativity,0.5096,0.4718,0.0757
全量,after,domain_knowledge,0.8104,0.7555,0.1333
全量,after,problem_solving,0.6575,0.572,0.1765
全量,after,real_world,0.5651,0.4786,0.1739
全量,after,specificity,0.5698,0.5621,0.0155
全量,after,technical_accuracy,0.5999,0.5696,0.0615
无类别,before,user_tokens,-0.0013,0.0013,-0.0026
无类别,before,turns,-0.0012,0.0012,-0.0024
无类别,before,ability_diff,0.4732,-0.4695,1.0687
无类别,before,verbosity_diff,0.5973,-0.5926,1.4804
无类别,before,format_tendency_diff,0.5667,-0.5623,1.3677
无类别,before,header_density_diff,0.1559,-0.1547,0.3144
无类别,before,list_density_diff,0.085,-0.0844,0.17
无类别,before,bold_density_diff,0.3238,-0.3213,0.6815
无类别,before,complexity,0.2684,0.2741,-0.0128
无类别,before,creativity,0.4173,0.4298,-0.0253
无类别,before,domain_knowledge,0.7621,0.7608,0.0031
无类别,before,problem_solving,0.5339,0.5429,-0.0181
无类别,before,real_world,0.4578,0.464,-0.0125
无类别,before,specificity,0.3899,0.3866,0.0068
无类别,before,technical_accuracy,0.4487,0.4451,0.0074
无类别,after,user_tokens,-0.0013,0.012,-0.0098
无类别,after,turns,-0.0012,-0.0355,0.0381
无类别,after,ability_diff,0.4732,0.4665,0.0076
无类别,after,verbosity_diff,0.5973,0.6232,-0.0315
无类别,after,format_tendency_diff,0.5667,0.5276,0.0485
无类别,after,header_density_diff,0.1559,0.0248,0.1419
无类别,after,list_density_diff,0.085,0.0851,-0.0
无类别,after,bold_density_diff,0.3238,0.3266,-0.0026
无类别,after,complexity,0.2684,0.2382,0.0696
无类别,after,creativity,0.4173,0.3195,0.2037
无类别,after,domain_knowledge,0.7621,0.6942,0.1532
无类别,after,problem_solving,0.5339,0.408,0.2541
无类别,after,real_world,0.4578,0.3173,0.2914
无类别,after,specificity,0.3899,0.3723,0.0363
无类别,after,technical_accuracy,0.4487,0.4071,0.0841
仅创意写作,before,user_tokens,0.001,-0.001,0.002
仅创意写作,before,turns,0.0217,-0.0222,0.044
仅创意写作,before,ability_diff,0.3976,-0.4074,0.8794
仅创意写作,before,verbosity_diff,0.5231,-0.5361,1.2486
仅创意写作,before,format_tendency_diff,0.5005,-0.5129,1.1752
仅创意写作,before,header_density_diff,0.1026,-0.1051,0.2088
仅创意写作,before,list_density_diff,0.1304,-0.1336,0.2663
仅创意写作,before,bold_density_diff,0.2562,-0.2625,0.5369
仅创意写作,before,complexity,0.3777,0.3557,0.0456
仅创意写作,before,creativity,0.7538,0.7527,0.0026
仅创意写作,before,domain_knowledge,0.3544,0.3739,-0.0405
仅创意写作,before,problem_solving,0.43,0.4196,0.021
仅创意写作,before,real_world,0.2249,0.2205,0.0104
仅创意写作,before,specificity,0.2136,0.2115,0.0052
仅创意写作,before,technical_accuracy,0.2196,0.2246,-0.0121
仅创意写作,after,user_tokens,0.0026,-0.1006,0.1104
仅创意写作,after,turns,0.0206,0.0012,0.0184
仅创意写作,after,ability_diff,0.3907,0.3764,0.0157
仅创意写作,after,verbosity_diff,0.5129,0.5336,-0.0243
仅创意写作,after,format_tendency_diff,0.49,0.4876,0.0029
仅创意写作,after,header_density_diff,0.1018,0.0585,0.0466
仅创意写作,after,list_density_diff,0.1202,0.0795,0.0431
仅创意写作,after,bold_density_diff,0.2441,0.1937,0.049
仅创意写作,after,complexity,0.3776,0.3493,0.0589
仅创意写作,after,creativity,0.7539,0.6799,0.1649
仅创意写作,after,domain_knowledge,0.3561,0.3015,0.1165
仅创意写作,after,problem_solving,0.4306,0.3262,0.2165
仅创意写作,after,real_world,0.2258,0.1837,0.1044
仅创意写作,after,specificity,0.2145,0.1979,0.041
仅创意写作,after,technical_accuracy,0.221,0.2477,-0.0631
仅指令遵循,before,user_tokens,-0.0226,0.0225,-0.0452
仅指令遵循,before,turns,0.0095,-0.0094,0.0189
仅指令遵循,before,ability_diff,0.4542,-0.4519,1.0163
仅指令遵循,before,verbosity_diff,0.5733,-0.5704,1.3939
仅指令遵循,before,format_tendency_diff,0.498,-0.4954,1.1444
仅指令遵循,before,header_density_diff,-0.0528,0.0525,-0.1054
仅指令遵循,before,list_density_diff,-0.0947,0.0942,-0.1897
仅指令遵循,before,bold_density_diff,0.201,-0.2,0.4094
仅指令遵循,before,complexity,0.6815,0.7161,-0.0755
仅指令遵循,before,creativity,0.8153,0.8108,0.0117
仅指令遵循,before,domain_knowledge,0.9341,0.934,0.0002
仅指令遵循,before,problem_solving,0.912,0.9164,-0.0156
仅指令遵循,before,real_world,0.8086,0.8139,-0.0135
仅指令遵循,before,specificity,0.8698,0.8783,-0.0257
仅指令遵循,before,technical_accuracy,0.7494,0.7566,-0.0166
仅指令遵循,after,user_tokens,-0.0221,-0.0144,-0.009
仅指令遵循,after,turns,0.0093,0.0407,-0.029
仅指令遵循,after,ability_diff,0.4518,0.4542,-0.0027
仅指令遵循,after,verbosity_diff,0.57,0.5624,0.0091
仅指令遵循,after,format_tendency_diff,0.494,0.4608,0.0386
仅指令遵循,after,header_density_diff,-0.0527,0.0251,-0.0742
仅指令遵循,after,list_density_diff,-0.0961,-0.0045,-0.0876
仅指令遵循,after,bold_density_diff,0.1964,0.2255,-0.03
仅指令遵循,after,complexity,0.6821,0.6208,0.1289
仅指令遵循,after,creativity,0.8149,0.7707,0.1094
仅指令遵循,after,domain_knowledge,0.934,0.8861,0.1678
仅指令遵循,after,problem_solving,0.9118,0.8541,0.1803
仅指令遵循,after,real_world,0.8086,0.7331,0.1804
仅指令遵循,after,specificity,0.8699,0.8343,0.1004
仅指令遵循,after,technical_accuracy,0.7489,0.7066,0.0951
仅数学,before,user_tokens,-0.0021,0.0022,-0.0043
仅数学,before,turns,-0.0059,0.006,-0.0118
仅数学,before,ability_diff,0.4222,-0.4292,0.9407
仅数学,before,verbosity_diff,0.5321,-0.5409,1.2711
仅数学,before,format_tendency_diff,0.5479,-0.5569,1.3251
仅数学,before,header_density_diff,0.1858,-0.1888,0.3812
仅数学,before,list_density_diff,0.0513,-0.0521,0.1035
仅数学,before,bold_density_diff,0.1888,-0.1919,0.3877
仅数学,before,complexity,0.8654,0.872,-0.0195
仅数学,before,creativity,0.1878,0.1656,0.0584
仅数学,before,domain_knowledge,0.9739,0.973,0.0061
仅数学,before,problem_solving,0.7568,0.7561,0.0017
仅数学,before,real_world,0.3974,0.3703,0.0557
仅数学,before,specificity,0.8056,0.787,0.0464
仅数学,before,technical_accuracy,0.9088,0.9067,0.0071
仅数学,after,user_tokens,-0.0018,-0.0582,0.0739
仅数学,after,turns,-0.0063,-0.0926,0.113
仅数学,after,ability_diff,0.4186,0.4028,0.0177
仅数学,after,verbosity_diff,0.5254,0.5344,-0.0107
仅数学,after,format_tendency_diff,0.5406,0.4906,0.0639
仅数学,after,header_density_diff,0.1766,0.204,-0.0278
仅数学,after,list_density_diff,0.0527,0.0465,0.0062
仅数学,after,bold_density_diff,0.1943,0.0017,0.1631
仅数学,after,complexity,0.8648,0.8675,-0.008
仅数学,after,creativity,0.1881,0.1396,0.1314
仅数学,after,domain_knowledge,0.9738,0.9678,0.0356
仅数学,after,problem_solving,0.7579,0.6778,0.1788
仅数学,after,real_world,0.398,0.3212,0.1607
仅数学,after,specificity,0.8048,0.8342,-0.0766
