model_name,DoF,chi2,chi2 p-value,CFI,TLI,GFI,AGFI,NFI,RMSEA,AIC,BIC
主模型,136.0,232.3577,1e-06,0.9998,0.9998,0.9996,0.9994,0.9996,0.003,111.7476,798.2325
扩展模型,136.0,149.6334,0.200274,1.0,1.0,0.9998,0.9996,0.9998,0.0011,183.4651,1064.7633
