feature,feature_column,role,subset,n,format_win_rate,a_treatment_rate,crude_or,crude_or_ci_low,crude_or_ci_high,crude_p,adjusted_or,adjusted_or_ci_low,adjusted_or_ci_high,adjusted_p,ipw_ate,ipw_ci_low,ipw_ci_high,ipw_ess,bootstrap_success
列表密度,list_density_diff,敏感性分析,仅代码,14706,0.48170814633482933,0.49809601523187813,0.8636294340745138,0.8095226503627363,0.9213526009008604,8.934803769180461e-06,0.9000258335273059,0.8361637569210101,0.9687653815555707,0.005030559215168052,-0.025367968738898572,-0.043903100104621944,0.0010492459953922613,9381.069434517018,30
列表密度,list_density_diff,敏感性分析,仅创意写作,2868,0.5216178521617852,0.5034867503486751,1.189230033476805,1.0271254454641932,1.376918543658595,0.02045097351176837,0.9934465909196607,0.8404447927566416,1.1743021522838704,0.9385817870890354,-0.015848113402240516,-0.06762024094830177,0.021725047502329193,1945.7222178596464,30
列表密度,list_density_diff,敏感性分析,仅指令遵循,4462,0.47355445988346034,0.5040340654415061,0.8099009440745853,0.720031020409407,0.9109878888828148,0.000442197713330357,0.997236265465974,0.8748155170249952,1.1367884425992736,0.9669644332836056,-0.0022293342048541054,-0.03034864453658034,0.0232166836646307,3960.9618638690936,30
列表密度,list_density_diff,敏感性分析,仅数学,3333,0.5262526252625263,0.49474947494749477,1.2337713387241696,1.0768936981268562,1.4135022973065239,0.0024644427343759423,1.2764224391210315,1.0977513790628513,1.484174171097444,0.0015128628901277075,0.05712853718559263,0.03200271253936839,0.09979318142055628,2943.7819186426646,30
列表密度,list_density_diff,敏感性分析,全量,69305,0.503340307337133,0.4985066012553207,1.026925766544382,0.9967908022132415,1.0579717706576142,0.08038227948115574,1.026498223558317,0.9920585483521019,1.062133484680585,0.13307817372457792,0.001616944934298592,-0.004953272115964705,0.008748653830085886,53198.59562827671,30
列表密度,list_density_diff,敏感性分析,创意+代码,198,0.5353535353535354,0.5202020202020202,1.3376190476190482,0.7642889569067174,2.341031752957366,0.3083625440606603,1.3936802254113292,0.6781575970625223,2.8641492465998284,0.36640376190118207,-0.14096593270849223,-0.24635387280271753,0.11790056156478666,22.02904134547984,30
列表密度,list_density_diff,敏感性分析,创意+指令,704,0.5085227272727273,0.5170454545454546,1.0714859437750996,0.7971937665658659,1.440154421494412,0.6471988705452123,1.1166720229265463,0.7980532765272299,1.5624976971626012,0.5196702434066358,0.019822671850261764,-0.03298911471338823,0.09237454312003397,630.214184419437,30
列表密度,list_density_diff,敏感性分析,指令+代码,4203,0.46561979538424936,0.4884606233642636,0.7577997816180073,0.6712486690868857,0.8555108344594241,7.393598974448643e-06,0.907659144069705,0.789635987697759,1.04332266341524,0.17280183923663162,-0.017066529103991868,-0.04878972351740165,0.028197409280357737,2182.863572475675,30
列表密度,list_density_diff,敏感性分析,指令+数学,803,0.5043586550435866,0.5031133250311333,1.0357142857142851,0.7853678572274653,1.3658619610682203,0.8036904416802367,1.3086501787507512,0.9519137809973932,1.7990760555540934,0.09761635835313236,0.05499659567654286,-0.007574105790046818,0.10804519778624598,754.9736783655046,30
列表密度,list_density_diff,敏感性分析,指令+数学+代码,577,0.47660311958405543,0.5095320623916811,0.827368421052632,0.5966399452628044,1.1473226182561476,0.25591741676717106,,,,,-0.10105890461450023,-0.1984132953428945,-0.03221556098955969,465.8086722741916,30
列表密度,list_density_diff,敏感性分析,数学+代码,904,0.48451327433628316,0.47345132743362833,0.8797602581834941,0.6774492798035138,1.1424886481591237,0.3366214869820435,0.9213926933493841,0.6857125704610836,1.2380763193341715,0.5870228982626238,-0.010844115550706412,-0.0692741767653697,0.05803924178380092,770.2354487476243,30
列表密度,list_density_diff,敏感性分析,无类别,36430,0.5172385396651111,0.4990941531704639,1.1478549177367297,1.1016306985374904,1.1960186965755248,4.849965334924233e-11,1.0888411844842505,1.0376055418540917,1.14260677801563,0.0005377950524820612,0.012376679620169029,0.003117317876356374,0.021451845436919942,28392.222062735,30
标题密度,header_density_diff,主分析,仅代码,12055,0.5425964330153463,0.4982994608046454,1.4070066111925943,1.309678680071489,1.5115674050917645,9.950182385194946e-21,1.0779470753750846,0.9881961750317041,1.1758494180291876,0.09059167291818301,0.01016202576964459,-0.01047130497304171,0.025156426115585787,7113.08887188196,30
标题密度,header_density_diff,主分析,仅创意写作,1768,0.5559954751131222,0.49038461538461536,1.5722877450597539,1.3031067511973546,1.8970730916662173,2.3193546460445495e-06,1.0901274599078323,0.8729886855112489,1.3612752359432383,0.4463920261935602,0.018113891162757856,-0.04063084654800103,0.08429275239429371,1129.2947997926099,30
标题密度,header_density_diff,主分析,仅指令遵循,3421,0.518561824028062,0.5144694533762058,1.1662821797738157,1.0196847082622578,1.3339555961136593,0.02480455515655668,1.1522633625055767,0.9858221548435744,1.3468056586568935,0.07497751709090997,0.03507811280416345,-0.009875237910078976,0.0672573349009756,2688.9041947479795,30
标题密度,header_density_diff,主分析,仅数学,2213,0.5314053321283326,0.5133303208314505,1.284516306652875,1.0869011878145263,1.5180608509360685,0.003306447530308033,0.9512262249945822,0.7730764855557631,1.1704292499169242,0.6364928172666691,-0.016711222714613172,-0.06981916537768051,0.025506135327624916,1410.8470420845538,30
标题密度,header_density_diff,主分析,全量,49092,0.5530432657052066,0.5006314674488715,1.5313615096295874,1.4778178848782884,1.58684510261435,8.503245939451006e-122,1.1317138800134476,1.083344021453743,1.1822433879280694,2.8233584541181258e-08,0.027670692278760123,0.022096661940457125,0.03580567962094882,26987.119422068947,30
标题密度,header_density_diff,主分析,创意+代码,151,0.5165562913907285,0.5231788079470199,1.1199095022624432,0.5888320263155961,2.129974656958455,0.7298857693431046,0.5722576791451266,0.2385600427972991,1.3727313572743638,0.21117652317749958,-0.10279973748227789,-0.25131929540056247,0.1221187762600201,99.24526384582789,30
标题密度,header_density_diff,主分析,创意+指令,584,0.5171232876712328,0.5051369863013698,1.1470543844644563,0.8290830095497341,1.5869747006800838,0.40747669126625485,1.154585070506632,0.7992319292612495,1.6679347211127966,0.4437360700121463,0.04679189371690168,-0.0016223054300033234,0.10038815721214975,547.2814477263307,30
标题密度,header_density_diff,主分析,指令+代码,3350,0.4928358208955224,0.49671641791044774,0.9437008987231624,0.8241084067154196,1.0806483455257796,0.4019513344659137,0.9769904956984233,0.8352705910758957,1.1427559390730668,0.7709551381979828,-0.008435324234110864,-0.04618327088466676,0.032893993535558774,2536.939354553061,30
标题密度,header_density_diff,主分析,指令+数学,629,0.5087440381558028,0.5007949125596184,1.0723981900452488,0.7844510209654263,1.4660416613352996,0.6612700339877393,1.076025715963504,0.7289151967193704,1.588430789515467,0.7123143480731986,-0.016897032155233194,-0.12029245003021075,0.04242523788985657,446.70996044143845,30
标题密度,header_density_diff,主分析,指令+数学+代码,458,0.49344978165938863,0.49563318777292575,0.9489409141583048,0.6578401497944572,1.3688566422176545,0.7791980560446404,,,,,-0.05970581888313836,-0.16300146187209943,0.021537019876462064,349.04616238115347,30
标题密度,header_density_diff,主分析,数学+代码,732,0.5368852459016393,0.505464480874317,1.3457194645844937,1.0062560755777523,1.7997018068405641,0.04527931555963367,1.0903294827946557,0.7647716984839396,1.5544748627700782,0.6327019695142766,0.031326426776594696,-0.06873048548827296,0.09698441294140558,494.57798118382965,30
标题密度,header_density_diff,主分析,无类别,23648,0.5775541271989174,0.49945027063599456,1.8693835310910873,1.7753417654488635,1.968406790357369,9.4863279593435e-125,1.1621307578509135,1.0869060656109537,1.2425617457420213,1.0786251324252404e-05,0.03471100314536135,0.023971376217098623,0.0540222726236059,8514.562949917194,30
粗体密度,bold_density_diff,主分析,仅代码,14347,0.5348853418833206,0.49822262493901165,1.3224099675712564,1.2384249649498578,1.41209049544848,6.964536439024903e-17,1.016967914341187,0.9361346875955097,1.104780917215982,0.6904952498990977,0.018823858723776288,-0.007907056352918957,0.03978129288894195,7282.52626551583,30
粗体密度,bold_density_diff,主分析,仅创意写作,3818,0.536406495547407,0.5060240963855421,1.3394653977581181,1.179432937407749,1.521212012049347,6.724186063583767e-06,0.9656481889950871,0.8218943539008532,1.1345453591252896,0.670798666821425,-0.01135140568414017,-0.05184658140070063,0.028594914893863087,1625.5891644789926,30
粗体密度,bold_density_diff,主分析,仅指令遵循,4602,0.5347674923946111,0.510864841373316,1.326270748387528,1.181036260289644,1.4893650238960725,1.8243392987095793e-06,1.0280226917227628,0.890530752353203,1.1867424588137676,0.7059600515035385,0.01728144785331237,-0.021009194285100258,0.039025566864150506,2529.0462865208233,30
粗体密度,bold_density_diff,主分析,仅数学,3249,0.5783317943982764,0.5007694675284703,1.881189258312022,1.6366284878056652,2.1622946514473385,5.932305827873399e-19,1.2284689227703962,1.0291096593256428,1.466448089897016,0.022749953203198087,0.07212489064389183,0.03478543686245865,0.11824623074574982,1475.535333144349,30
粗体密度,bold_density_diff,主分析,全量,70193,0.5580043594090579,0.5002493126095194,1.5939526298392697,1.547161547792121,1.6421588229084494,1.4655913495011493e-206,1.1060418568561892,1.0643213520381936,1.1493977704902674,2.7821879692536553e-07,0.024599337417076206,0.016528345634100775,0.03785853893297076,29167.262295324395,30
粗体密度,bold_density_diff,主分析,创意+代码,217,0.4976958525345622,0.5483870967741935,0.9904371584699453,0.5801489503182106,1.690886046316143,0.9719109628562818,0.9801604318319074,0.44177639229825993,2.1746623153196842,0.9606915324377235,-0.07094776375911793,-0.2410725262659083,0.11006105422488283,122.88775051591851,30
