feature,n,exact_count_agreement,presence_agreement,mean_abs_count_difference
header,216308,0.9895981655787118,0.9955110305675241,0.050978234739353145
list,216308,0.9788958337185865,0.9967684967731198,0.18467185679678977
bold,216308,0.9688176119237384,0.9984975128058139,0.08574809993157904
