模型,自由度,卡方统计量,卡方检验 p 值,CFI,TLI,GFI,AGFI,NFI,RMSEA,AIC,BIC
主模型,136,232.358,<0.001,1.000,1.000,1.000,0.999,1.000,0.003,111.748,798.232
扩展模型,136,149.633,0.200,1.000,1.000,1.000,1.000,1.000,0.001,183.465,1064.763
