subset,feature,n,coefficient,robust_se,odds_ratio,ci_low,ci_high,p_value,average_derivative_per_sd,converged,design_rank,p_holm
full,log_token_ratio,78959,0.48217165550719066,0.012489662089614051,1.619587772602765,1.580422028174008,1.6597241157129583,0.0,0.10528879486267967,True,90,0.0
full,header_density_diff,78959,0.027827060994451563,0.009538380645261172,1.028217850072142,1.0091736573425185,1.0476214272090814,0.003529878083955904,0.006076420468130135,True,90,0.021179268503735423
full,list_density_diff,78959,-0.012930266465516394,0.008778587813948718,0.9871529702858906,0.9703132722132085,1.004284919778088,0.14076926308574308,-0.0028235010454430143,True,90,0.5630770523429723
full,bold_density_diff,78959,0.05411162284792143,0.010614236564772537,1.0556024249280442,1.0338686315057646,1.0777931020995042,3.432190036179253e-07,0.011816015090577064,True,90,2.7457520289434025e-06
english,log_token_ratio,42001,0.460381634957777,0.0169335547628614,1.5846786383739555,1.5329467563591643,1.6381563002768547,9.119423081478803e-163,0.10252513224781977,True,69,9.119423081478803e-162
english,header_density_diff,42001,0.012366673222848696,0.01310799061957755,1.01244345671849,0.9867633962559597,1.0387918288632951,0.3454531395145415,0.0027540082213627325,True,69,0.7132205339268459
english,list_density_diff,42001,-0.012295891003642066,0.011984230583814112,0.987779394580449,0.9648477298957313,1.01125607919828,0.3048888141432603,-0.0027382453067850915,True,69,0.7132205339268459
english,bold_density_diff,42001,0.07837070706089322,0.01467045692330499,1.0815235127684755,1.0508681283696435,1.1130731602696609,9.188772452075002e-08,0.01745284019965334,True,69,8.269895206867501e-07
single_turn,log_token_ratio,67608,0.49688313524259803,0.013539295958041169,1.6435904296992265,1.6005480713185603,1.6877902944667165,7.484082469886892e-295,0.10783079554286079,True,89,8.232490716875581e-294
single_turn,header_density_diff,67608,0.021088596719616427,0.010220693549440924,1.0213125325694015,1.0010565951665045,1.0419783399057776,0.039081907122668,0.0045765291672629355,True,89,0.19540953561334
single_turn,list_density_diff,67608,-0.011235820406185697,0.009516606748014878,0.9888270656779702,0.9705538707870064,1.0074443008757872,0.2377401779756153,-0.0024383348257215,True,89,0.7132205339268459
single_turn,bold_density_diff,67608,0.05642766061940405,0.011416781897315815,1.0580500733448335,1.0346371319568706,1.0819928293001504,7.711961550360201e-07,0.012245614921589428,True,89,5.398373085252141e-06
